Participant: ,, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:13:39.688,0,0,0
2024-03-13 19:13:39.691,0,0,0
2024-03-13 19:13:39.693,0,0,0
2024-03-13 19:13:39.695,0,0,0
2024-03-13 19:13:39.700,0,0,0
2024-03-13 19:13:39.703,0,0,0
2024-03-13 19:13:39.705,0,0,0
2024-03-13 19:13:39.707,0,0,0
2024-03-13 19:13:39.710,0,0,0
2024-03-13 19:13:39.713,0,0,0
2024-03-13 19:13:39.716,0,0,0
2024-03-13 19:13:39.720,0,0,0
2024-03-13 19:13:39.722,0,0,0
2024-03-13 19:13:39.725,0,0,0
2024-03-13 19:13:39.728,0,0,0
2024-03-13 19:13:39.730,0,0,0
2024-03-13 19:13:39.733,0,0,0
2024-03-13 19:13:39.736,0,0,0
2024-03-13 19:13:39.740,0,0,0
2024-03-13 19:13:39.742,0,0,0
2024-03-13 19:13:39.745,0,0,0
2024-03-13 19:13:39.748,0,0,0
2024-03-13 19:13:39.750,0,0,0
2024-03-13 19:13:39.753,0,0,0
2024-03-13 19:13:39.756,0,0,0
2024-03-13 19:13:39.760,0,0,0
2024-03-13 19:13:39.762,0,0,0
2024-03-13 19:13:39.765,0,0,0
2024-03-13 19:13:39.768,0,0,0
2024-03-13 19:13:39.771,0,0,0
2024-03-13 19:13:39.774,0,0,0
2024-03-13 19:13:39.777,0,0,0
2024-03-13 19:13:39.780,0,0,0
2024-03-13 19:13:39.782,0,0,0
2024-03-13 19:13:39.784,0,0,0
2024-03-13 19:13:39.787,0,0,0
2024-03-13 19:13:39.790,0,0,0
2024-03-13 19:13:39.793,0,0,0
2024-03-13 19:13:39.796,0,0,0
2024-03-13 19:13:39.798,0,0,0
2024-03-13 19:13:39.801,0,0,0
2024-03-13 19:13:39.804,0,0,0
2024-03-13 19:13:39.807,0,0,0
2024-03-13 19:13:39.809,0,0,0
2024-03-13 19:13:39.811,0,0,0
2024-03-13 19:13:39.815,0,0,0
2024-03-13 19:13:39.817,0,0,0
2024-03-13 19:13:39.821,0,0,0
2024-03-13 19:13:39.823,0,0,0
2024-03-13 19:13:39.826,0,0,0
2024-03-13 19:13:39.828,0,0,0
2024-03-13 19:13:39.831,0,0,0
2024-03-13 19:13:39.834,0,0,0
2024-03-13 19:13:39.836,0,0,0
2024-03-13 19:13:39.840,0,0,0
2024-03-13 19:13:39.843,0,0,0
2024-03-13 19:13:39.846,0,0,0
2024-03-13 19:13:39.848,0,0,0
2024-03-13 19:13:39.850,0,0,0
2024-03-13 19:13:39.854,0,0,0
2024-03-13 19:13:39.856,0,0,0
2024-03-13 19:13:39.860,0,0,0
2024-03-13 19:13:39.863,0,0,0
2024-03-13 19:13:39.865,0,0,0
2024-03-13 19:13:39.868,0,0,0
2024-03-13 19:13:39.871,0,0,0
2024-03-13 19:13:39.874,0,0,0
2024-03-13 19:13:39.876,0,0,0
2024-03-13 19:13:39.879,0,0,0
2024-03-13 19:13:39.882,0,0,0
2024-03-13 19:13:39.884,0,0,0
2024-03-13 19:13:39.887,0,0,0
2024-03-13 19:13:39.889,0,0,0
2024-03-13 19:13:39.892,0,0,0
2024-03-13 19:13:39.895,0,0,0
2024-03-13 19:13:39.897,0,0,0
2024-03-13 19:13:39.901,0,0,0
2024-03-13 19:13:39.904,0,0,0
2024-03-13 19:13:39.906,0,0,0
2024-03-13 19:13:39.910,0,0,0
2024-03-13 19:13:39.914,0,0,0
2024-03-13 19:13:39.918,0,0,0
2024-03-13 19:13:39.920,0,0,0
2024-03-13 19:13:39.923,0,0,0
2024-03-13 19:13:39.926,0,0,0
2024-03-13 19:13:39.928,0,0,0
2024-03-13 19:13:39.931,0,0,0
2024-03-13 19:13:39.933,0,0,0
2024-03-13 19:13:39.936,0,0,0
2024-03-13 19:13:39.937,0,0,0
